name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;801;0;944;3055;1216;3055;944;0
header;85;106;85;146;1730;146;1730;106
A;903;167;903;197;927;197;927;167
B;904;841;904;869;926;869;926;841
A;909;893;909;897;912;897;912;893
D;941;1000;941;1027;979;1027;979;1000
B;878;1245;878;1262;887;1262;887;1245
B;877;1338;877;1354;886;1354;886;1338
C;904;1514;904;1542;925;1542;925;1514
D;908;2187;908;2214;930;2214;930;2187
A;1029;2753;1029;2769;1037;2769;1037;2753
B;1113;2799;1113;2815;1121;2815;1121;2799
