name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;463;0;578;3051;998;3051;952;0
header;120;125;120;169;1755;169;1755;125
A;916;186;916;215;940;215;940;186
B;623;427;623;443;632;443;632;427
B;896;516;896;532;905;532;905;516
B;896;607;896;623;905;623;905;607
D;898;653;898;670;907;670;907;653
B;930;855;930;883;949;883;949;855
B;732;1245;732;1261;741;1261;741;1245
A;708;1291;708;1308;716;1308;716;1291
B;906;1383;906;1399;916;1399;916;1383
B;897;1522;897;1537;905;1537;905;1522
C;934;1652;934;1682;955;1682;955;1652
A;537;1968;537;1969;540;1969;540;1968
B;721;2015;721;2031;744;2031;744;2015
B;777;2025;777;2040;787;2040;787;2025
D;944;2327;944;2354;965;2354;965;2327
B;728;2836;728;2852;750;2852;750;2836
